;t_id;h_id
1149;4786;288
1150;4791;288
1151;4792;288
1152;4792;122
1153;4793;23
1154;4793;60
1155;4795;288
1156;4798;60
1157;4798;288
1158;4799;122
1159;4799;288
1160;4800;122
1161;4800;288
1162;4804;288
1163;4806;122
1164;4827;60
1165;4827;122
1166;4844;278
1167;4846;142
1168;4850;396
1169;4863;317
1170;4872;396
1171;4872;180
1172;4875;288
1173;4884;288
1174;4884;122
1175;4884;350
1176;4888;288
1177;4888;125
1178;4888;350
1179;4891;316
1180;4893;78
1181;4893;397
1182;4893;122
1183;4893;288
1184;4894;293
1185;4894;46
1186;4894;122
1187;4894;288
1188;4895;23
1189;4895;46
1190;4895;293
1191;4895;78
1192;4895;397
1193;4895;161
1194;4896;130
1195;4898;44
1196;4902;327
1197;4914;23
1198;4914;46
1199;4914;122
1200;4914;288
1201;4915;23
1202;4915;122
1203;4916;122
1204;4917;122
1205;4918;63
1206;4918;288
1207;4919;23
1208;4919;122
1209;4921;122
1210;4921;288
1211;4924;393
1212;4924;410
1213;4924;409
1214;4924;62
1215;4924;14
1216;4926;410
1217;4928;233
1218;4929;352
1219;4929;352
1220;4930;288
1221;4931;419
1222;4931;94
1223;4934;122
1224;4934;288
1225;4935;288
1226;4938;288
1227;4938;122
1228;4946;122
1229;4946;288
1230;4947;288
1231;4947;122
1232;4958;122
1233;4958;288
1234;4973;288
1235;4989;122
1236;4992;218
1237;4992;122
1238;4992;288
1239;4993;288
1240;4993;218
1241;4993;122
1242;4995;218
1243;4995;122
1244;4995;288
1245;4996;218
1246;4996;288
1247;4996;122
1248;5003;418
1249;5012;218
1250;5012;23
1251;5013;23
1252;5013;218
1253;5019;24
1254;5023;122
1255;5024;23
1256;5024;288
1257;5025;122
1258;5027;23
1259;5029;23
1260;5030;23
1261;5030;288
1262;5030;122
1263;5031;350
1264;5044;177
1265;5044;288
1266;5050;122
1267;5050;288
1268;5051;122
1269;5051;288
1270;5058;23
1271;5058;288
1272;5059;288
1273;5060;122
1274;5060;288
1275;5068;16
1276;5069;228
1277;5070;288
1278;5070;122
1279;5071;16
1280;5072;217
1281;5074;339
1282;5075;122
1283;5075;288
1284;5077;288
1285;5079;350
1286;5079;288
1287;5080;288
1288;5081;288
1289;5082;288
1290;5083;288
1291;5086;194
1292;5086;30
1293;5087;259
1294;5103;319
1295;5113;258
1296;5114;350
1297;5117;104
1298;5122;288
1299;5123;122
1300;5126;288
1301;5126;113
1302;5127;288
1303;5127;113
1304;5128;122
1305;5130;23
1306;5130;122
1307;5131;350
1308;5132;337
1309;5136;400
1310;5136;122
1311;5136;288
1312;5137;338
1313;5138;23
1314;5138;122
1315;5144;122
1316;5144;288
1317;5145;122
1318;5145;23
1319;5146;122
1320;5147;122
1321;5147;288
1322;5148;68
1323;5150;122
1324;5150;288
1325;5151;169
1326;5153;288
1327;5154;122
1328;5154;288
1329;5155;16
1330;5158;122
1331;5158;288
1332;5159;288
1333;5160;16
1334;5160;350
1335;5162;53
1336;5175;122
1337;5175;288
1338;5181;291
1339;5181;198
1340;5181;252
1341;5183;348
1342;5189;218
1343;5193;288
1344;5193;218
1345;5194;288
1346;5194;218
1347;5195;288
1348;5195;218
1349;5196;288
1350;5196;218
1351;5197;288
1352;5197;218
1353;5198;288
1354;5198;218
1355;5199;218
1356;5199;288
1357;5200;23
1358;5200;122
1359;5201;23
1360;5201;288
1361;5201;122
1362;5201;218
1363;5203;218
1364;5203;122
1365;5207;7
1366;5207;267
1367;5209;23
1368;5209;218
1369;5210;23
1370;5210;218
1371;5211;270
1372;5211;288
1373;5211;23
1374;5214;23
1375;5216;288
1376;5217;122
1377;5217;288
1378;5218;122
1379;5218;288
1380;5220;122
1381;5220;288
1382;5223;288
1383;5227;415
1384;5241;122
1385;5244;83
1386;5244;288
1387;5244;350
1388;5247;6
1389;5247;122
1390;5251;141
1391;5258;23
1392;5259;288
1393;5262;122
1394;5262;288
1395;5263;126
1396;5266;122
1397;5267;288
1398;5267;122
1399;5269;122
1400;5269;288
1401;5285;238
1402;5285;218
1403;5285;122
1404;5287;288
1405;5289;16
1406;5289;122
1407;5290;288
1408;5291;122
1409;5291;288
1410;5294;288
1411;5295;246
1412;5295;288
1413;5302;23
1414;5302;122
1415;5307;122
1416;5309;392
1417;5311;288
1418;5318;288
1419;5324;288
1420;5328;288
1421;5328;122
1422;5333;54
1423;5335;206
1424;5335;342
1425;5340;356
1426;5341;342
1427;5341;206
1428;5349;342
1429;5349;206
1430;5350;206
1431;5350;342
1432;5351;288
1433;5351;99
1434;5355;289
1435;5356;68
1436;5357;200
1437;5358;64
1438;5360;120
1439;5361;152
1440;5361;294
1441;5362;377
1442;5362;288
1443;5369;39
1444;5369;206
1445;5371;288
1446;5378;206
1447;5378;288
1448;5381;206
1449;5381;288
1450;5388;288
1451;5400;242
1452;5400;122
1453;5401;213
1454;5403;214
1455;5404;23
1456;5404;23
1457;5404;23
1458;5406;395
1459;5407;309
1460;5412;361
1461;5412;264
1462;5416;361
1463;5417;242
1464;5417;55
1465;5417;122
1466;5418;122
1467;5420;55
1468;5420;288
1469;5421;288
1470;5421;55
1471;5422;313
1472;5423;242
1473;5423;288
1474;5424;242
1475;5424;288
1476;5430;55
1477;5431;288
1478;5436;242
1479;5436;55
1480;5436;288
1481;5437;122
1482;5437;288
1483;5438;122
1484;5438;288
1485;5445;316
1486;5445;288
1487;5446;242
1488;5453;221
1489;5453;212
1490;5454;122
1491;5454;288
1492;5456;387
1493;5456;223
1494;5457;55
1495;5458;122
1496;5461;55
1497;5462;55
1498;5463;122
1499;5464;288
1500;5464;55
1501;5480;16
1502;5482;16
1503;5484;16
1504;5485;16
1505;5489;352
1506;5489;45
1507;5489;417
1508;5489;341
1509;5489;112
1510;5491;368
1511;5492;288
1512;5502;288
1513;5502;122
1514;5506;122
1515;5511;288
1516;5515;122
1517;5526;122
1518;5526;288
1519;5527;122
1520;5530;288
1521;5530;122
1522;5539;122
1523;5539;242
1524;5550;239
1525;5550;240
1526;5555;239
1527;5555;240
1528;5555;204
1529;5556;204
1530;5557;204
1531;5557;122
1532;5557;239
1533;5564;239
1534;5565;239
1535;5565;240
1536;5565;204
1537;5567;239
1538;5567;204
1539;5572;343
1540;5573;239
1541;5573;240
1542;5577;16
1543;5577;229
1544;5577;48
1545;5578;239
1546;5578;240
1547;5581;239
1548;5581;204
1549;5587;16
1550;5588;16
1551;5597;16
1552;5598;165
1553;5599;16
1554;5601;122
1555;5601;350
1556;5607;239
1557;5607;240
1558;5610;377
1559;5610;264
1560;5612;23
1561;5620;266
1562;5623;122
1563;5624;122
1564;5625;122
1565;5627;381
1566;5627;239
1567;5627;204
1568;5629;239
1569;5629;367
1570;5629;288
1571;5634;288
1572;5639;288
1573;5641;122
1574;5641;321
1575;5642;122
1576;5642;239
1577;5644;361
1578;5646;318
1579;5655;239
1580;5655;288
1581;5658;350
1582;5672;338
1583;5673;338
